scenario,metric,comparison,mean_diff,boot_ci_low,boot_ci_high,t_stat,p_ttest,w_stat,p_wilcoxon
symmetric,brier,ARA vs mean pool,-0.0003513099791429702,-0.0006044694531319073,-0.0001278350722007684,-2.8902440870343313,0.0038498419315988464,8174950267.0,0.0
symmetric,brier,ARA vs log pool,-0.0007827317778925177,-0.001040456393114617,-0.0005372890568526925,-5.8688362867518835,4.3955312192363536e-09,8231734202.0,0.0
symmetric,logloss,ARA vs mean pool,-0.0006867772083090659,-0.0014737829453044687,5.20924087604497e-05,-1.819467463557445,0.06884163672421757,7576757087.0,0.0
symmetric,logloss,ARA vs log pool,-0.0020587385640357526,-0.0028583771203084763,-0.0012645554887862588,-4.9927518691194095,5.957491665441782e-07,7637203823.0,0.0
asym_hetero_heavytail,brier,ARA vs mean pool,-0.002852308440611594,-0.003103418297700871,-0.0025999427878763423,-21.989073961197168,4.911108264601046e-107,8616870720.0,0.0
asym_hetero_heavytail,brier,ARA vs log pool,-0.00979746066193231,-0.010178707229331872,-0.009417703882822488,-52.340605348667616,0.0,9268943317.0,2.2250987095664066e-176
asym_hetero_heavytail,logloss,ARA vs mean pool,-0.017228444358401176,-0.018235965316534836,-0.01619360079721851,-33.71809619621654,1.5743512294926268e-248,8011429872.0,0.0
asym_hetero_heavytail,logloss,ARA vs log pool,-0.045137901437847607,-0.04671920357608056,-0.043574697813766515,-58.798927740709146,0.0,8627124762.0,0.0
